Request,Response
How are you,Hy
"m fine""",Ok chatting
"None, Ohh","s not good"""
Hy,Hi
"None, Hiii",Fuck you
I hate you late answer me,"None, Go away you bad boy I hate you too"
Hhhhh,Your girl
"None, Yes I hate you very much","m sorry"""
m wrong I didn,"t believe you  so go away"""
"m your friend""",None
None,t love anyone say that for me. Ook and too. I really don
Whyw,serious
"None, Yes",No problem some time chatting people in 5min your miss
Ok go away,"t apologize you"""
"None, Hey I know now you say that I just you a small exam so you say that okay now go away and never come here. bad boy",Hi
Hi stupid girl,"Hey go away, None"
Cry,"t will cry"""
Hi,You are now connected on Messenger
You are now connected on Messenger,Yewee
yoooooo,Bmz gtx
ni neza,Kowabuz
"wwp ghee ni shuri sft x, ..",Ndaftaa
Kabisaa,Es mw mufit exam ruar
*ryar,"eejooo, mhn, website development niyo tuzabanza"
Natweee,Mn
"eeeeeeeeeeh, goroba x muzaba muffite iki",Simbiz
Ndaq,Nabonye harih WD mita nitahir
"hhhhhhh cyz nae ndaq, uuzarebe ntrb ubwire, ..",Ntrb
Uri schoolx,Cg
"nihondiii mhn, ..",Noec
Warebyeyo,Sizirih
Timetable,"nyn nagiraga ngo ujy unamo ibyo mwakoze, nang nkutemo, ."
Eeeh,Ejo twe na exam namwec
"natwe broo nago twakoze, .",Ndaft
Si insazii,"cyz, nne x vp, ."
Oe,Ni flx ntrb
Ni nez,Kbs
Noec,"frsh, nntamo x ibizima, .."
Shaka aba referrals ngutemo cash zifatik,iiigo x
Foo,ng nizih x
Vp vp,Yooo
Bmz gtx g,"Ni nez, Wllh"
Kbs,Kgl kicks mbambona zaryoshye
"Hhhhhh, Ntabya danje bruh, Cuz",Ladies first
Sibyoc bruh,Hhhhh nibyo
Foo,Turiy du shusho nineza kbs
Iiigo x,Sanaaa
Mrc frero,Kbs next nange muzankoreh
Ntrb,Yoo brd man
Yooo,Ng gatex ghee
"Flx, Oe c",Ni saw kbs
Ahubwoc mn uzi boro bita drop shipping mn,Wapiii ndaq
Nabuz umusani numwe uzi shona tuh,Shn nango nzizi ndaq
Mn ni za boro zokugurisha boro  zivuye kuri alibaba ukoresheje Shopify mn ukabicuriza mz ukabonah doo tuh,Naguzeho store kuri iyo boro ako byanshanzee
"Hhhhh, Ark cyz uba uzi utuntu",Mn nabonye thecat abi posting yerekana ibiceri arikwinjizaa
Ahubwo uzabyigehoo,Turye ibiceri bro
Nanazeho aga products kamee ngo ndebe,"Bikora ute x, ??"
Urumva zidafata,Wihanganire akantu ka nyine nyine
", Ndumva ari sw ibyo bintu mhn",Hhh gxr vn zarantaniye
Ako nubundi urebye ninka kwakundi kwaba basani bagurisha kechi town bapyeta tuh oe ugurisha boro ya $2 example nko kuri $10 ukunguga tuh,Nabyumvise nugupyeta
Sanaaa,Mn bibamo doo byasanaaa
"Cyz kbsa, Ni nez oe bijyemo",Ikibazo mn sinzi gukora monetize ngo utangire kwinjiza ndetse na ads
Ads uyikora iyo bolo yae wayigize professional,Nges subonak iri professional br
Ako nzakora indi ya page ya store atari client account,"Yg, Nibyo sw"
Foo,Ako bizacamo tuh
Ndikubikina gake gakee,"Bruh courage mhn ibyo bintu bizarya foo,"
Ntrb kabisaa,Hary wigahe
Mn,I muhanga
Kukih kig,Brave
Eeh,Mn nshaka guhinduraa
Ikigo,"Harya wiga sod, ??"
Yee,"Hindura nyn nge sinzi niba skl nigaho wayikunda bruh, Gusa ninge muntu wa esb uhaba gusa tuh, ??"
Ntawamenya,Bishyura angahe
93k mwaho,Sinamenshi kbs
Ikibazo lyfee ya board ni insazii ubu naho bararasa sanaa,"Wapiii mhn, Nago biba bruh, None"
Reka nimenya flx iza hood nzakurabura tuh,Byaba ari nez sanaa
Ntrb bld,Yoo
Yeye,Ninezac br
,"Nez, Ntrb, Oe x"
Ni flx,Br
Ahubwoc wantayemo nbr ya benisse,Knz ntrb
Ntrb,+250 791460688
Merci bruh,Ntrb bruh
Poa,Uyumwan x
Sister,Toka
Serie,Jyenda Gcz wibeshya
biri serie bruh,Naringize ngo naga Chry kae
Hhh,Wappi
Kbs,Eeeh
You are now connected on Messenger,You are now connected on Messenger
patric sha walah warahindutse,bro umzt
nsubiza,Poa petit
ngagukumbuyeeeee cyane,Uzambona
ryari,"Igihe nikigera, Nanjye sindamenya"
sha ninaho nsigaye ni bana,Kuber iki??
papa muheruka mu kwa 3,Ubana nande ubu??
reka njyame,na mama
None,bye na hejo
None,Poa
Salm,Ese kutaba unvugisha
Salam grand frere,Ooooohh bro mumateka naratsinze
Ese Grand frere usigaye unyirengagiza,None
Pack umzt c,"Poa, Amkr yae?"
Ni meza,"abandi?"""
Ni meza,"Ngo wakoze icya leta, ??"
Ygo,Uzatsinda?
Inc allah,Ok
Ndagukumbuye,"ll be home"""
Ok,"Bye petit, Ndi Ku meza"
Appetit yibe nae,Yibe nanjy??
Nte narangije,Hi
Vp,hi Big Bro
Hi petit,Salm
Hello,None
"Hhhh, Woe x uranyibuka, ??",yeah
Unyibukira kuki?,as ma big bro
"Gisele yarangije ibizamini, ??",yego azaza kua 1
Hello,sup bllod
HI BRO NI THIERRY,sha mn ndagukumbuy
"umutwe??""",Dushobora Kuzaza Nibafungura Ingendo Zo Munara
Rekereka,Hello
None,Hi
Hiii,Hello
Ni Thierry,Hello
,You are now connected on Messenger
Hello,Hi
Hi,You are now connected on Messenger
Hello mn,Hello
Umz ute mn,Urindex
Salm,You and Peace Sonia are celebrating 3 years of friendship on Facebook
Bimez bt,hello
Hello,wameny
Nop,Thierry classmate
"Eeeeh, Bt x",saw woec
Nanjye tuh,
Hi,"Hi pop, None, Hi"
Amkr,"Sha nimz, Ayw x"
Si fresh cyn,"Ok, Habaye x iki"
Sha Man Ni Renge,Hhhhb
Hi,Hiii
Bmz gt wanjy,"Oex, Ks fresh"
Ni fresh cyn um nbr zae,Ok
Hi,Hii
Happy New year,You too mn
Yp,Ng bmz gtc
Sha biraho tuh,Kubr
Iki birah,Hi
Hi,Hiiii
Salaam Divin umezute,ni Thierry
None,Bafila vp
Yoll,Bimz bt ba file
ni fresh kinuu,Usigayx wigah
semisheri,Eee
Amkrx,Ni mez wanjye
Woec,Ni mez woec
ch numunz warimutsex brd,Nez
Ntrb,ok uratangaz ikx
Shn ntcy kbs,Eeeeeeeee
None,None
Ba phila vp,Philemon ni Thierry
Umzgt ewa,Ewan Nkumbye Ya Xbox Yawe Philemon
Hhhh pole sana,Uracyatuy Hahandi
Niho ndi kabisa,Nzagusure
Uzi Kuri Kigali sport view ni ho tuba,"Okay ndahazi kabisa, Amakuru yabandi"
Ni  meza Bose,Ark x buriy Kuva Kwisoko rishya riri Centre harimo Urugendo Runganagute
Amakuru ya Heritier na sister,Ni  Saw bose ni Fresh
Nzagusura kuwa  3,"Wangurahehe c ko nsigaye ngora, Ntabwo wambona mon petit"
Ok,Ark nzaza Ayo  Wigira Yose
Surprise,"Hhhhj, I like surprise"
Ok,Nzaz
Philemon Salam,Subu  Xbox wayimera 100000Frw
"Salama petit yangu amakuru c, Oh oya my friend ntabwo byashoboka",Hhhhh
Wayiguze Angah,Ba yinzaniye hanze
Ok,Wiriwe
Fresha amakuru,saw Nzaza Kuwa 4
Unza mbanze mbere yuko uza arigiye naba ntari home,ok
Hello,Hello
Philemon Umzt Ra,Good Thierry amakuru
Nimeza Nzagusura,Hello
Philemon Ko Utavg,How are u
Fine You,Good kabisa
Hhhhh Irungu Man Wazamfashije,Pole sana
Hhhhhh,hello
Hello,kotuburanyeh
Mwiriw,Hii
Hi,Amkrx
Ni mez 2 Woex,"Sh narb, Urikukix"
Cyahex shn,Noec Twaba Tuziranye
Wp,Ntrb
Wigahex,ESB
Woec,Ng nig fawe
Eeeh ntrb,Wamae pic yaec
"Wamay izawx, None",None
Njye nkoresh machine nta pic mfitemo,"Oky, Uzazim ryarx"
Nko kuwa 4,"Narb 2, Urikukix"
Cyahec shah k ar insazi,Urigukorikx
Ntcy ndaryamy 2 woec,Shn nd kureb movie 2
Yihe,"Merlin, Wowx ur kureb iyih"
Ntago ndikureba Mv,"Urikurebikix, Oky, Waryamyx"
Hoya,Mrng
Mrng,Umez utx
Mez nez kbs,Woec
Shia narb wanjy,Kbs
Ex twaba tuziranye,Shn wp 2
Okayy,Umez utx
Mez nez,Woec
Shia nabirenz umunt agiy gusubir schl,Ese wigah
"Fawe, Wowc",ESB
Shn nah nz 2,Ntrb
You are now connected on Messenger,Vp x mn
genda warupet we,Urinde
Wandikiy Uwo  Utazi,You are now connected on Messenger
Reba ndagasui,None
Yew,Yoo
Bmz gtx culture,Nez
Vpp,Poer
Bmz gtx,"Nez, Oex"
Fresh,Ese Mhn uyu si kulture
Yg,Ahreee
Yoo,Bmz gtx blood
Hi,Hi
Hi,Hi
Amkrc mwn,"Nimez, Hy"
amkrc,Ni fueo oe
flx sana kbs,Kowatashy x
shn numvag nkumbuy hood,"Eee, Uzasubiray ryr x"
Sinzi,Kuber ik
kuk sindamenya ark naza nka sunday,Eeee aho  sw
Woec,Ndacyarway simbiz to
Urwaye icyx,Igifu
Shn sorry kbs,Ntrb to
Yg,Ej tujy skl
Byinsazi,Saa ngah
Nka saa 15pm,Ko arikar x
Noec ubw ryar,Nk 17
Mhn Twajyeray Saa 19 knd Bakisaza,Okk ntrb 16
Ntrb woe ndakubwira,Ntrb
Woe na cedro zarabaryohany,"Hhhh, Gt x kd, Eeeg dii, Baje x"
Yooo,Hi
Hi,Amkrc
"Nimez, Oe",Nanjy
Wallh,Ex wamae nbr zae
0785070839,Merci
Dorie,None
"Weee, Bt",Flx
Mucecu,Bmz gtz
Vp,Yew
Hiii,Hi
Amkrc,"Nimez, Oe"
Gud gud,Uraryama ryarc
Hoy ni mukany,Noec
umutima namaraso ese uramuzi? Ni yesu. Uwo yesu ntananirwa azi ibyo ukeneye kandi azi ugutemba kw,Yoo
Hii,Hii
Hy,How u doin
"m fine hbu""",Blessed
Where u livin,Huh
"kanombe, hbu",Kagaram
nineza kweliiiiiiiii,Poer
hei,Hiii
wassup,Blessed cuz
Hbu,Ntamutima mubi
Poa,WTF
Fr fr,What happened
That post is lit,Thank you
Yanshumuje,Wallah
Oya seee,
,Noec
hy,Hi
amkrx,N mez wowc
ni meza,Mwiriwe ndi umukunzi wanyu mwazaturinyejeho  Tom and Jerry Nshya 2021
Yoo bro,Bitexxx
Frsh,Kbs
Ah bmz bt bruh,Fresh
Oec,Frsh wamenyex
Shyira prince,Yoo bro vp
Frsh,Oec
Shiaa,Kowabuzeee
Guteza ko utahamagara,You are now connected on Messenger
nonese,hi
WAMBONYE,nakuyotse nigga
HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH nHHHHHHHHHHHHHHHHHHHHHHHHHHHHH nHHHHHHHHHHHHHHHHHHHHHHHHHHHH nHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,"Prince set the quick reaction to  .,"
nubu uracyanga umu hunter wa ma vampire,"foooooooooo, Prince set the quick reaction to  .,"
"jya muri plofile zange urasanga nakwiganye nakwiganye mubyo guhiga ama vampire,alien,zombie,and hunter",Wabonye
YUP,Ok start ark Uri muriza Game mn
hi,Yoo
Hi,Yop
Hi,Hi bro
Hhh,IKI X NIGGA
Bluchet,Zimereye 4
hhhh nryoherwa  tu,Woec
nge inzariranyishe nhubwo mpaho,Akira
Iraryoshye,thnks
Hhhhhh,None
Appetite,ese home nihe mn
Kgl,kgl ninini
Nyarugenge,nyarugenge ninini
Kiyovu,gud
Woe,muhima
Umva mn narishye mumutwe rekanryame na a hejo,gd night
Hello,yo
I NIGGA,"ertyui90p[, yoooo, nigga, yghjkl"
What mean ertyui and yghjkl,"sorrryy, mbyanditse ntabishaka"
Okkkkk,I be right back
"ok, nigga",Hy
Hi,Hw r u
Umzt,neza bro
Hhhh,Hello
hlo,Bits
Kutavuga,hi bro
Hhhhhhhh,iki
Wabagahe,Schk
Hi,hi
Salaam,slm
Saa 12:30,Iki
Uranyandikiye ndi schk,None
Hhhhhhhh joke,"Okkk, Kbsa bro, Do you like prank??"
"s mean of prank in kinyarwanda""",Hhhh
Hi,None
Umzt,Swagger
Sky hunter si movie,"wp, hariyuzi c nguyindangire"
None,Vp
Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,Yoo
Ngo bmz gtc,"Nineza, Owex"
Ni well,Kbs
Uranyibukx,Iriya video ya pac wayimaye
Wap kbsa,Ntrb
Wanyibwiyex nshuti,Nicyera mhn 2018
Nyine nsobanurira,Mhn ni inshuti bisanzw
"Eh, Wahex",Wa chat mhn
"Eehe, K",You are now connected on Messenger
VP bro,Eii
hi,Umztc
Nez oex,Ni Ogheee kbs
Sup,Yoo
Hi,Hi
You are now connected on Messenger,You are now connected on Messenger
None,Hi
Hii,Amakr x
Nrb inaharyarix,Sinz
Sinz,Hi
Hii bro,Amkrx
Komwatanzex mn,Hoy
hlo,Hii
Amkrx,Nsw mn
Amkr ya caltier x nayah,"Ndi kgl na Bria, Brea"
Haganah,We ari masaka ark jye sihondi
Eee,"Yh, F . R . I . E . N . D . S:) nF= Fight for you nR= Respect you nI= In love with you nE= Encourage U nN= Need you nD= Deserve you nS= Save you nSend this to all your friends including me if I am one of them. If u get 4 sms back; you are a good friend 2 others, but if you get 7 back; then you are seriously loved!"
Hi,Hii
Bmz bt,Nsw woex
Nanjye ntrb,Uzk blea Ejo aza
Hano,Kiziguro
Nihurix,Yg
Na giserex,Hoya
We,Ari I Kigali
Blea yendaga kugusura inaha,Yawe
Yihangane,Uzaza Tugiye gufungura ark
Hoya kuri,31
"Nejobundi, Urumva udafitex irungu",Sicyane kbs
Ujamurugox,Yg
Hariyo,Blaise gusa
Harirundux,Shn ryinshi
Ba deborahx,Ntaba Bariyo
Ngo barakoz,Barakor
Hello,Hi
Brair gt,Fresh2
None,Hii
Bmz gtx,Fresh
Amkr ya hood,Fresh bro
Blair x,Nawe nineza
Umusuhuz,4oooooo
None,Yoo
Happy birthday friend,Mrc bro
Ark Mhn Uzik ND kzgr,Sure
Wallah,Gizox we arihe
Shn we ar I kgl,Ark yabonye akazi???
Eeeh,"Ark urambenshya ntago uri kzgr, Ngaho show me your pc na brea"
Nahavuye ejo,Ark woe ubaz blair
Urambenshya wee,Shn Wapi mwn
Umubaze,Bro waex arihe mn
Bitesha,You are now connected on Messenger
You are now connected on Messenger,None
hi,Mpa like
You are now connected on Messenger,Ark bro warasaz
Bro bangiriye account barabipostinga singe wabikoze mn,None
Nguh Support,Ehh
Jyamur setting ya fb,Ujy ahandits password and security hanyum urb ahantu handits where you logged on Mz Ukore seemore urabona Aka device yose Arimo Account yaw mz ukore all log out
Kamex bro,Hhe x mn
Tsap 0788451370,Hi
Hi,Waryamyex
Not yet mhn,Morning Wa hene we
Gahenere umugina,Kicare muntozi
Turikumwe,Nkwicariye woe urihasi
Wibeshy ahubw oe,Hehehe
"Indub, M bro",Vppp
Bmz gt,Rebayeeee
"N saw, Shn uramfuhira, Reb y x io, ik",Uba wiriyee
Nonx uragirang nkury,Ngahx shah wandiyw
Ndaherah x ahubw ngir inam,Ku birengw
"Ugir inzara mbi, Mbwir ahand",Kumusatsi
Umusatsi nabibiwawe,Hhh
Fuck,Is ur ass
Hhhhh,Ikx
Ntcy,Gxr
,"Yicaremo,"
Hhhh,See wogeu
Ngukii,Ntcy
Hh,Ese shn Ng bmz gt
N wanene,Ng wisushishije ark
Ngooo,Wisukishije
Wambonye hhh,Twahuye ark sinagusuhuz
Twahuriyeh k ntigez mva hom,Munzir ijya Nyarutarama
Gacez wp maz ntg aring,Wasanga narabony uwo musa
Nubundiiii jjjhhhh,Hhhh
Gxr,Yesuweee
Hhh,Bmz gtx
"N saw, Oe",Ni Umunez boo
Cykz usigay unkom fooo,Ahubwox war wakomw og
Have x hhhhh,Wamazr
Egokooo da saint,Ubayiki
Ntcyyyy,Saw
Yiii,Bmz gtx Umu choo
Ni saw umukaroti,Hhhh
Noeh iby bishats kuvug iki?,Ntcy
Okay,Non x muhung wang witeguy gt results
Shn Nyne Mbihanz amaso tuh,Ukobizaza nuko
Hhhh cyn,Ok
Hhh,He y
Hi,Home gt
Saw,Ndakubona
None,Uvugana na yassil
Yego  ark nago ajya vuga,Sha nange ntago ajya amvugisha
Twese ngirango naphone agira,"Wasanga, morn"
Mrng,You are now connected on Messenger
AWE,Sup
Yewee,Woo
Watash amahorox bro,Og woe
Bmz ngtx brd,None
"Flex, None",Kbs wajee
mmmm,Cyzeeee
Nones,Supp
Reba post yanjy,Si wanee
Wansubije mhn,"yego, gapuisont, hhh"
Ark Mhn uriyemera,"umuntu"""
"bro network iba yanze, im really sorry, never had intetion 2 hurt you",Okayyy
Ntrb,Umvac haqq
Yo,Umva Mhn noec za Deal
Ese bro ko uba utavuga,Mhn
"Sup, Tho",Noec mhn za deal
Uzaze murugo nyn,Ryarx mhn ma gahunda
Uzaze igihe ushaka,Nzaze Thursday
Sup ghe,Yo
Noec Mhn Nzaze cg,"t want 2dissapoint u like after promising u, This stuff, Umbabarire, Bro"
Ntrb mwn,Knd merci
"ubundi  siwakinyima ugifite tuh""",Ark nzakwisurira bisanzwe tuhhh
Har iribic,
"Eeeeh ejo ningira amainite nzayita nguhamagar tubipange, Cg, 0791893361, Izo Ni nbr zanjye nawe wampamagara ubishatse",Ntrb 0788451370
Ntrb woe Nzagukoraho tuhh,Cyzee
Noec,Umvase noeh Mfite gahunda
Wapi ntago mpari ndi mu kazi,Nyne Uma day
men imma let u know if i made it,Nguki?
but this days im busy af,Okay Nta na Off ufitex
"kubera ko aribwo nyitangira ntayo natangiye kuwa 1, bro, urumv nta cyo nababwra",Okay ntrb
Noec ukor icy Nimba ntcy bitwaye,"mfash mm gucuruza ibyombo mn, ninjye uba uzana amakarito nyavana kuri depo"
Eeeh ntrb nibaguiwe,Okay nabyumvishe Nta Mwanya kbs
Uba ufit,kandi nta bakozi benshi afite urumv rero kuboneka byangora
Ntakibazo woe uzambwie tuh,thats why i like u
"re among those friends who understand me""",Hhhh ntrb
Sikuva Kera se,gapuiso
Rekerahoo,Ahubwox
umv s uziga he s,Noeh noeh nang Ga$@mak naraheby ndaq
Shn Sinz Sindameny ark Nshobor kujy CGFK Mhn Cg,ga$@mak nibik
Nyine nshats kuvuga Gasamake,"hhh, i got u"
Ye,Ase Iriy sb Wayiguz anghe
30k,Nge naguz converse
Eeeeh bro nibutse yuk ejo Ufit Birthday,Gczee
Nimba nibeshy,Gusa nimb aribyo shn Hbd Big bruh
thank u,Ntrbii
arko wakohereza niyo gift da,Shn bro ntakinu ndih kbs
got ya,Ntrb
Ark Kora Repost mhn,ntugakunde CLOUT mn ibi nibyaange nawe ntago ari mpaka tubikore 4 the gram
Ndabyumv ark Mhn Iyo Udakoz repost,Aba people bakeka yuk utabyishimiye mhn
Ark Ntrb Ntabirenz,"bro nabikor arko ndi gukoresha lap kuri chrome, knd urabiz ntibikunda kuri chrome, nt 4ne mfite"
Ntrb,Eeeh
Ndabizii,Eeeh noec Kaka Ga Touche washakag
Umvase big bruv,None
None,Naguye Iwabo tuh
Ark boro Yankorey shiaa,Haqq
Ngiye kuba Man instead of pussy boy kbs,Mhn Ibaz 2k for ticket and U get back with only 4secs kiss
Ibaze in this Position,And you were home alone
I tried my best but Tho never show me The action,"re missing"""
So she gave you a kiss?,"t looked in the eyes that tho"""
Yeah but,Ka tap and go
s the first date maybe next time it,"t think so"""
But she makes me regret my money,"t get money and girls at the same time , u chose one ., Be wise lil nigga"""
I Got u,Bro
All of my life I learned a lesson that I always skipping,Yeah mhn
"t show u any green light . : #hurzo""",Hurzo
Gxr,Make money first
Nyn nakomeza kuzana ubugoryi ni hurzo,Knd u told me
"Yeah, Man up bro nubund abo badem urabishinga ariko iyo ubuz ibiceri baraguta, Ushaka imbwa abanza inyama",Ogheee
Nubundi,"Woe ujya umukunda nka fun 2, azana ubugoryi ureba ufite gahunda, Rule number 1: Don t fall in Love with Her., Jus have fun wit her."
"s it""",ubundi ark I can
Oghee,Ese what about Berra
None,Is this shit real hhhh
Iy movie yitw nguk,JOHN Q
Reka nyireb Dore ko nar bored,Yoo
Brud,Yo
Bmz gtx,poa
Es kub utavg bro,Nae
mn mez nez,Guts bro
nez nyn,Eeeh bro
Nae,Nzagusure ryaric
shn ntago wambona nukri,Okay
I got you,Ntrb tub poe
Yoo gotti,"yo, whatup"
All gud brd,Bmz gtx
"nez 2, woe?",Shn Ni Umunez Nubukene
Wazamaye akzi mhn,mn nago ntanga akazi sind boss
Shiaa,Ubukene buranyisheee
siweho wenyine natw twicarA mu duka tukiganiriza,Egokoo
"eeeeh nawe uzikarag kg uzaba umbwra, abantu bariye karung mwn nta biceri",Shiaa merutsey ark ntuk narinyafit at dat time shiaa
Ndabizz,Ahubwox ukoresh Airtel
kuri wifi gus,Kuri wifi ?
Ndakubaz Ukoresha internet na Airtel nih ugur Mbs,yeah
Nge sinyigur me to you natanz 1k Bama VPN,Knd nkoresh unlimited data
mbwra ukunt babikor nyn,Naec Uraheba 1k
eeeeh,Ark bro Aba ar Kueli wallah
Nirirw IG,War wambur
nyn nanjy mbwr uko ubigenz,Mhn Ni app bita Ha tunnel suyizc
Big stepper ?,"wapi, ntay nzi, mbwr uko nzabigenz"
Ukoresh android cg iPhone,lap nkoresh ni macbook i phone
Mac book na iphone,Cg mac book ya apple ntag ndiguft fresh
"eeeeego, niyo",Eeeh iy uba ufit phone nibw byakund
nyn nakunt nayagurira kuri simcard s,Umva bro iy ni application ijya muri iphone cg Android rer mur mac book knd siyana hosting internet itanajyam simcard rer ushak phon ushyirem simcard maze aribw uyikoreshya uhit Ukor hotspot
Saw kanshak phone ubund umbwre steps,Ntrb
Bruv,None
Shaka app bita ha Tunnel plus,Ubyuzuzem utyo bimez
Knd. Ni Airtel gusa,None
Noec bro nimba byanakunz siwanambwir,wapi nago ndabikor
Eeeh,Okay
Urikujyana na lyrics,Oh hell yeah
Hhh,Bmz gtx
"Bon, Woe",Nange ntrb
Umusa,Ejo ni results
Umv s amanota wayabony,Eeeeh cyane
Woec,Wayabonye
None,Ca kuri iyi link
https://sdms.gov.rw/sas-ui/public/nationalExaminationResult.zul,Yo Gotti
None,Shiaaa Bro Ntakinu Magaze Ubu wallah
Ark mbibonye nabigukorera kbs,Subizic
Yoo,"Whatup, Big bro"
Fresh,Kowabuze bro
Sup,"Yo, How are u doing"
Frsh,Ese kowiburishije brud
"m fucked up AH, Usigaye wiga he s""",George fox mn
Ni hatari natwe twesee,yooo cuz
"Yoo, Wah Guan",Blessed cuz
Watashy ryari,"Ker mn, Ubu ni Chill"
Cyazee,Noeh uzany izih vib
Hiii,"Eyooo, Bt"
Ni bon ntrb,Woec
Nng n sw,Ark mhn uzik nabuz nbr yae
Onger uyim,"Yiee, 0784406871 nizo"
Ok ndaje nkwandikire tsap,Vp
"Wambabariye ukakama plzz, None, None, Fuck you, Fuck you",Ubaye ikix
Wari wakanyimye fuck you,None
Urifuza Ngo,Nkusabe imbabazix
Hhhhhh,
None,You are now connected on Messenger
Hi,Jg
How are you,Hello
You are now connected on Messenger,Sup
Kame bro,You are now connected on Messenger
Hy,Who are you
Hi,Eii
Ahaa,"btx, None"
Ni nez ntrb woec,bon
Ntrb,
You are now connected on Messenger,You are now connected on Messenger
happy bith dayyyyyy to youuuuuuuuu,Ark Pt Vp
Hi,Yoo
,We shyaka
Bite thierry umezeneza,yg shyaka ndagukumbuye
Nanjyenukope,Hh
Shyaka bite,Umezegute wakanawe
ni saw,Umezeneza
Yego,.urikumwe nande home
Reka naryamye nahejo,Sawaa urareneza Good night
Hi,Hello
We shyaka,Bimezute
We,Uza mamagare 0726532729
Mama gara se,Warambeshye
Thierry amakuruyawe umva ntagomba mpari kurichat nukomba ntarodinze aut umeze nezase,Yigo
Uraryamyec,Wanze kunsura
Salaam alaikum,Manaweee muhunguwanjye bimeze bite ndagukumbuye cyanee
Yibe nawe nge ndaryamye ngenyine mukizu cyose,Waransize
Narakwanze,Nsigaye inrya muri Restaurant ya fk
Yooo ihanganemama Thierry humura ntacyo waba sibyo mushuti wanjye ndagukundaa,Wanze kunsura
Nzaza muri grd vac nkusure nkicyumweru cyox,Ntrb
Yego nonex Gz yasubiye schl,Yg
Yoo pore kbx,Yh
Nice pc my boy,We shyaka wanze kunsura kand nuye kicukiro
Yiwe mbega nzagusura,Yoo
Slt,Ngo bmz bt
Ni wane,Kbs
"Kbx, Jy nKwiga x",Ndajyiy byo kbs
"Ubu x?, Umv x brh nNgutume kumuntu",Yeg
Ntrb,Ribanje andebere  nStaff mn nKo watinze kugenda bukaba nBwije x
Hoy ntag bwije,Serie klv
Ndajyend mukany,Utuye h x
Kicukiro,Eh ntrb nTuzahuz 2
None,Umvac
Yoh,Mhn Mfasha Umbwire Minerval Ya 3rd term pe
Ushaka kuza nKwiga esb x?,Hoy gxr
Ni Thierry,Hh nNta babyey ufite nX ni 181 mn
Eeeh ndagasui,Ngte x
Nez kbs woec,N kuel kbx
Eeeh,Ni wanee
Ng duhuz  nX,None
You are now connected on Messenger,None
Hy,Hw r u
Am fine,Ok
Bmz gtc,Sw
Wampay number ukoresh tspc,Nago ari kuri phone Ni kuri pc tuzambare.  Kuwa ga 6 nibwonzaba sm na phone
Ntrb,Uzanyibutse
"ukwa 12, ni amezi 2 satani atezamo ibyago.Ndatangaza ko mu izina rya Yesu Kristo, nta ndwara,nta mpanuka, nta rupfu bifite ubutware kuri wowe. Uzaba kdi uzagera muw",Amen
"Send this to all your friends, sent it back to me if am in ur friends list. You will see funny replies. n1. Who am I to u n(A) Best Friend n(B) Just Friend n(C) Lover n(D) Enemy n2. How much do you like me? n(A) 30 n(B) 60 n(C) 80 n(D) 100 n3. If you see me after a long, what will you do? n(A) Cry n(B) Hug me n(C) Kiss me n(D) Ignore me n4. Which of my character did u like most? n(A) Voice n(B) Dressing n(C) Walking n(D) Talking",How mach
9k,Hi
Hi,Amakuru
Ni fresh oex,Ni neza Amakuru yomuri ESB se?
Nineza tu,Og
Eii,Hey
"s gud""",
All kbsaa,Euna
"Wowe se, Bite",Ni bon ntrb
Utuyehc,"Gknd, Wowe"
Kagaram,Mn ndikumv maz nsankuwukuz ahant
Ako sindigushon flx,Hehe se kandi
Mn ni ker tuh,Wize inyamiramb
Can I have your p.c,nah
"t hav one rn""",Myb kesho
"Okein, Wapiii",Ndft
Oec can i get urs,None
Kuri mwizac ndaq,Uziko mise ngwamo
", Eee murakoze",Seriee
